candidate,base_source_sha256,candidate_source_sha256,correctness,device_us,ops,disposition,primary_evidence
packed_mlp,2347a7e6f399f8b667902771cee94f744a3d6200083e0baf9c0736bd18b9e31e,373d2a11d72d39151ce164e91bd8f01b6c58b3afb74b3428141dd7816f7735fe,full_0.998800717_0.997618106_linear_0.998477649_0.999461964_0.999649418,all_phases_in_bundle,all_phases_in_bundle,rejected_all_four_phases_slower,packed_mlp/manifest.txt
concat_heads_prefill,2347a7e6f399f8b667902771cee94f744a3d6200083e0baf9c0736bd18b9e31e,c94db5274a0796b03515c3c4aa02d7c0478a212307f9c9345766af72b421cc88,full_0.998800717_0.997618106,2366.470,28,rejected_9.692_us_slower,concat_heads_prefill/manifest.txt
decode_rope_lane_axis,2347a7e6f399f8b667902771cee94f744a3d6200083e0baf9c0736bd18b9e31e,5b54d28a15a8b7cfc15521c7b728b860fd9cde4b3727746bd365d9bbe700baee,full_0.998800717_0.997824526_trace_0.998387110,2346.213,39,rejected_6.533_us_slower,decode_rope_lane_axis/manifest.txt
tile_aligned_beta_a,2347a7e6f399f8b667902771cee94f744a3d6200083e0baf9c0736bd18b9e31e,57c00dd71e69bb671e87beffedf167043097f82bcd62c191cb49df4ec6496d1b,linear_0.998477649_0.999461964_0.999649418_native_prefill_pass,prefill_5604.199_decode_2723.857,prefill_159_decode_71,selected,tile_aligned_beta_a/manifest.txt
core_rmsnorm_default,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,7766b8640020b7ab4fc33abd841483d5d70fefa6957ba6ec31464249d76387ba,short_pass_native_prefill_and_decode_nonfinite,,,rejected_correctness,core_rmsnorm_default/manifest.txt
core_rmsnorm_fp32,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,44b90d67ca2a942900ce7169c4cc6687d8951446407b0c76ad0255492910addb,short_pass_native_prefill_and_decode_nonfinite,,,rejected_correctness,core_rmsnorm_fp32/manifest.txt
sharded_sdpa_concat_decode,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,6e0cf250e5ad3c38d0818bf7bef00cd22c5364f46e251fc7f01e07fbdd670a3b,fatal_Sharded_output_not_supported_for_GQA,,,rejected_contract,sharded_sdpa_concat_decode/manifest.txt
split_conv1d_l1_16k_ab,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,f69011093d5d28c1c3a8ca102aebf156cda1024a4a044eaef3f1661ae236a38d,standalone_silu_0.997846637_0.999412803_0.999644046_determinism_1.0_native_prefill_decode_pass,prefill_A1_5505.526_B_5635.236_A2_5500.267_decode_A1_2625.831_B_2873.108_A2_2625.095,prefill_A_159_B_159_decode_A_71_B_94,rejected_like_for_like_16k_both_phases_slower,split_conv1d/l1_16k_ab/manifest.txt
repeat_interleave_ab,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,bed81f43e55ffd032f716b319dffd00d45b4af3ac76a691af69a36526beb33c8,linear_0.998477649_0.999461964_0.999649418_determinism_1.0,prefill_A1_5604.755_B_5863.601_A2_5609.836_decode_A1_2729.836_B_2742.536_A2_2724.027,prefill_A_159_B_167_decode_A_71_B_77,rejected_reshape_concat_slower_both_phases,repeat_interleave_ab/manifest.txt
concat_heads_prefill_ab,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,c602227580bdc855813aa4bb81cf7b20c466e654009b6af07c293ab7fb1e7e7b,full_0.998800717_0.997618106,A1_2358.497_B_2365.869_A2_2356.430,A_29_B_28,rejected_8.406_us_slower_than_median_base,concat_heads_prefill_ab/manifest.txt
decode_rope_lane_axis_ab,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,4fcfb4d23d1b12d2702df6e6d7e9743b4fde02b5518a68348ef57e7131f99017,full_0.998800717_0.997824526_trace_0.998387110_determinism_1.0,A1_2339.681_B_2346.163_A2_2336.314,A_45_B_39,rejected_8.166_us_slower_than_median_base,decode_rope_lane_axis_ab/manifest.txt
