id,desc,status,policy_label,opt_label,attn_w,mlp_w,map_w,matmul_fidelity,sdpa_fidelity,fp32acc,ag_ccl,rs_ccl,kv_cache_dtype,prefill_top1,prefill_top5,prefill_top100,tf_top1,tf_top5,tf_top100,pcc_min,ttft_ms,tf_decode_t_s_u,tokenout_T128_t_s_u,tokenout_T512_t_s_u,measurement_regime,hardware,mesh,command
baseline,"SELECTED baseline: attn/mlp/map=bfp8, HiFi2, fp32acc, CCL bf16 (current default)",pass,"act=bf16,attn_w=bfp8,mlp_w=bfp8,mm_fid=HiFi2,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp8,bfp8,bfp8,HiFi2,HiFi2,True,bf16,bf16,N/A (no KV cache),1.0,1.0,1.0,0.986486,0.995495,1.0,0.996999,16.2321,347.8455,558.85,392.31,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id baseline --spec '<spec>'
bf16_weights,"All linear weights BF16 (higher-precision reference), HiFi2",pass,"act=bf16,attn_w=bf16,mlp_w=bf16,mm_fid=HiFi2,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bf16,bf16,bf16,HiFi2,HiFi2,True,bf16,bf16,N/A (no KV cache),0.995495,1.0,1.0,0.981982,0.995495,1.0,0.998931,13.9332,339.137,537.58,380.47,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id bf16_weights --spec '<spec>'
bfp8_lofi,BFP8 weights + LoFi matmul fidelity (fidelity sweep on dominant BFP8 projections),fail,"act=bf16,attn_w=bfp8,mlp_w=bfp8,mm_fid=LoFi,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp8,bfp8,bfp8,LoFi,HiFi2,True,bf16,bf16,N/A (no KV cache),0.995495,1.0,1.0,0.968468,0.986486,1.0,0.992827,17.9922,344.3197,564.43,395.16,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id bfp8_lofi --spec '<spec>'
bfp8_hifi4,BFP8 weights + HiFi4 matmul fidelity (higher-fidelity comparison),pass,"act=bf16,attn_w=bfp8,mlp_w=bfp8,mm_fid=HiFi4,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp8,bfp8,bfp8,HiFi4,HiFi2,True,bf16,bf16,N/A (no KV cache),1.0,1.0,1.0,0.990991,0.995495,1.0,0.997242,18.1448,343.1274,534.13,389.26,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id bfp8_hifi4 --spec '<spec>'
mlp_bfp4_lofi,MLP FF1/FF2 weights BFP4 + LoFi (required BFP4+LoFi for the MLP group),fail,"act=bf16,attn_w=bfp8,mlp_w=bfp4,mm_fid=LoFi,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp8,bfp4,bfp8,LoFi,HiFi2,True,bf16,bf16,N/A (no KV cache),0.977477,1.0,1.0,0.936937,0.977477,1.0,0.920851,15.7726,349.4615,564.62,400.77,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id mlp_bfp4_lofi --spec '<spec>'
mlp_bfp4_hifi2,MLP FF1/FF2 weights BFP4 + HiFi2 (BFP4 vs LoFi comparison on the MLP group),fail,"act=bf16,attn_w=bfp8,mlp_w=bfp4,mm_fid=HiFi2,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp8,bfp4,bfp8,HiFi2,HiFi2,True,bf16,bf16,N/A (no KV cache),0.977477,1.0,1.0,0.936937,0.986486,1.0,0.927784,15.0941,347.8943,560.54,398.17,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id mlp_bfp4_hifi2 --spec '<spec>'
attn_bfp4_lofi,Attention QKV/dense weights BFP4 + LoFi (required BFP4+LoFi for the attention group),fail,"act=bf16,attn_w=bfp4,mlp_w=bfp8,mm_fid=LoFi,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp4,bfp8,bfp8,LoFi,HiFi2,True,bf16,bf16,N/A (no KV cache),0.977477,0.995495,1.0,0.945946,0.986486,1.0,0.962729,15.5546,342.8747,558.16,396.7,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id attn_bfp4_lofi --spec '<spec>'
all_bfp4_lofi,All linear weights BFP4 + LoFi (aggressive lower-precision win attempt),fail,"act=bf16,attn_w=bfp4,mlp_w=bfp4,mm_fid=LoFi,sdpa_fid=HiFi2,fp32acc=1","ag=bf16,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp4,bfp4,bfp4,LoFi,HiFi2,True,bf16,bf16,N/A (no KV cache),0.963964,0.990991,1.0,0.918919,0.968468,0.990991,0.930738,16.6125,349.5235,568.86,400.87,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id all_bfp4_lofi --spec '<spec>'
ccl_bfp8,BFP8 CCL payload for both all_gather + reduce_scatter (halve ethernet payload),fail,"act=bf16,attn_w=bfp8,mlp_w=bfp8,mm_fid=HiFi2,sdpa_fid=HiFi2,fp32acc=1","ag=bfp8,rs=bfp8,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp8,bfp8,bfp8,HiFi2,HiFi2,True,bfp8,bfp8,N/A (no KV cache),0.995495,1.0,1.0,0.959459,1.0,1.0,0.989615,15.9198,338.6773,525.13,389.44,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id ccl_bfp8 --spec '<spec>'
ccl_ag_bfp8,BFP8 all_gather payload only (RS bf16); AG-only per OptConfig note,pass,"act=bf16,attn_w=bfp8,mlp_w=bfp8,mm_fid=HiFi2,sdpa_fid=HiFi2,fp32acc=1","ag=bfp8,rs=bf16,norm_sharded=1,sdpa_approx=0,persist_ccl=1",bfp8,bfp8,bfp8,HiFi2,HiFi2,True,bfp8,bf16,N/A (no KV cache),0.995495,1.0,1.0,0.986486,0.995495,1.0,0.998051,16.5273,341.1238,542.42,394.66,traced teacher-forcing decode t/s/u (ranking); warmed min-of-3x30 traced token-out,"4x Blackhole p300c (ClusterType.P300_X2, physical 4-ring)","(1,4)",python doc/datatype_sweep/run_candidate.py --id ccl_ag_bfp8 --spec '<spec>'
