
dump_callstacks.py:
Dev,Loc,RiscV,Kernel ID,Kernel Name,Subdevice,Go Message,Preload,Waypoint,PC,Kernel Callstack
0,"16-2 (11,0)",brisc,9,cq_prefetch,0,GO,False,X,0x11760,"\n#0 0x00011760 in process_stall () at ./tt_metal/impl/dispatch/kernels/cq_prefetch.cpp 1792:14\n#1 process_cmd<false, false> () at ./tt_metal/impl/dispatch/kernels/cq_prefetch.cpp 2486:35\n#2 kernel_main_hd () at ./tt_metal/impl/dispatch/kernels/cq_prefetch.cpp 3119:41"
0,"16-3 (11,1)",brisc,10,cq_dispatch,0,GO,False,X,0xb8f0,"\n#0 0x0000B8F0 in stream_wrap_ge () at ./tt_metal/impl/dispatch/kernels/cq_dispatch.cpp 1066:5\n#1 process_wait () at ./tt_metal/impl/dispatch/kernels/cq_dispatch.cpp 1120:33\n#2 process_cmd_d () at ./tt_metal/impl/dispatch/kernels/cq_dispatch.cpp 1373:25\n#3 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch.cpp 1676:44"
0,"16-3 (11,1)",trisc0,12,cq_dispatch_subordinate_compute,0,GO,False,X,0xe804,"\n#0 0x0000E804 in dispatch_subordinate_realtime_profiler () at ./tt_metal/impl/dispatch/kernels/cq_realtime_profiler_dispatch_subordinate.hpp 60:29\n#1 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate_compute.cpp 16:43\n#2 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate_compute.cpp 14:6\n#3 run_kernel () at ./tt_metal/hw/ckernels/blackhole/metal/common/chlkc_list.h 38:16\n#4 _start () at ./tt_metal/hw/firmware/src/tt-1xx/trisck.cc 89:15"
0,"16-3 (11,1)",trisc1,12,cq_dispatch_subordinate_compute,0,GO,False,X,0xecec,"\n#0 0x0000ECEC in dispatch_subordinate_telemetry () at ./tt_metal/impl/dispatch/kernels/cq_telemetry_dispatch_subordinate.hpp 146:41\n#1 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate_compute.cpp 18:35\n#2 run_kernel () at ./tt_metal/hw/ckernels/blackhole/metal/common/chlkc_list.h 38:16\n#3 _start () at ./tt_metal/hw/firmware/src/tt-1xx/trisck.cc 89:15"
0,"16-3 (11,1)",trisc2,12,cq_dispatch_subordinate_compute,0,GO,False,X,0x7cc4,"\n#0 0x00007CC4 in main () at ./tt_metal/hw/firmware/src/tt-1xx/trisc.cc 135:27"
0,"16-3 (11,1)",ncrisc,11,cq_dispatch_subordinate,0,GO,False,X,0xdbc0,"\n#0 0x0000DBC0 in invalidate_l1_cache () at ./tt_metal/hw/inc/internal/tt-1xx/risc_common.h 157:5\n#1 cb_acquire_pages_dispatch_s<206, 1> () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate.cpp 325:28\n#2 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate.cpp 627:70\n#3 _start () at ./tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc 73:16"
0,"1-8 (0,6)",brisc,287,tt_fabric_mux_v2,0,GO,True,X,0xa944,"\n#0 0x0000A944 in tt::tt_fabric::mux_v2::kernel::run_forwarder () at ./tt_metal/fabric/impl/kernels/tt_fabric_mux_v2_forwarder.hpp 154:48\n#1 kernel_main () at ./tt_metal/fabric/impl/kernels/tt_fabric_mux_v2.cpp 15:49"
0,"1-8 (0,6)",ncrisc,288,tt_fabric_mux_v2,0,GO,True,X,0xb124,"\n#0 0x0000B124 in tt::tt_fabric::mux_v2::kernel::service_client () at ./tt_metal/fabric/impl/kernels/tt_fabric_mux_v2_manager.hpp 129:5\n#1 tt::tt_fabric::mux_v2::kernel::service_client () at ./tt_metal/fabric/impl/kernels/tt_fabric_mux_v2_manager.hpp 112:13\n#2 tt::tt_fabric::mux_v2::kernel::run_manager () at ./tt_metal/fabric/impl/kernels/tt_fabric_mux_v2_manager.hpp 169:27"
0,"2-8 (1,6)",brisc,285,ring_reduce_scatter_minimal_async_writer,0,GO,True,X,0xc06c,"\n#0 0x0000C06C in cb_wait_front () at ./tt_metal/hw/inc/api/dataflow/dataflow_api.h 482:29\n#1 CircularBuffer::wait_front () at ./tt_metal/hw/inc/api/dataflow/circular_buffer.h 59:22\n#2 kernel_main () at ./ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp 772:46"
0,"2-8 (1,6)",trisc0,286,ring_reduction,0,GO,True,X,0xe068,"\n#0 0x0000E068 in llk_wait_tiles () at ./tt_metal/hw/ckernels/blackhole/metal/llk_io/llk_io_unpack.h 31:24\n#1 CircularBuffer::wait_front () at ./tt_metal/hw/inc/api/dataflow/circular_buffer.h 57:9\n#2 kernel_main () at ./ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp 87:54\n#3 run_kernel () at ./tt_metal/hw/ckernels/blackhole/metal/common/chlkc_list.h 38:16\n#4 _start () at ./tt_metal/hw/firmware/src/tt-1xx/trisck.cc 89:15"
