family,candidate,layer,prefill_pcc,decode_pcc,prefill_ms,decode_ms,result,evidence
host_cache,baseline_ordered_packed16,0,0.99942303,0.99996978,2065.630386,3.427797,replaced,baseline_perf_count7.xml
host_cache,stable_index_packed512_shared_zero,0,0.99942303,0.99996978,158.877355,2.082220,selected,final_default_perf_count7.xml
host_cache,stable_index_packed512_shared_zero,1,0.99949104,0.99984211,120.853601,2.613159,selected,final_default_perf_count7.xml
host_cache,stable_index_packed512_shared_zero,3,0.99972457,0.99988294,162.370719,3.027236,selected,final_default_perf_count7.xml
host_cache,slots20_adapted,0,0.99942327,0.99996978,153.253806,2.351580,rejected_decode_slower,candidate_slots20_adapted_perf.xml
host_cache,slots12,0,0.99942261,0.99996978,156.649394,2.113167,rejected_decode_slower_and_layer1_pcc,candidate_slots12_perf.xml
host_transfer,threaded_rank_h2d,0,0.99942303,0.99996978,159.098336,2.064998,rejected_no_stable_global_win,candidate_parallel_h2d_perf.xml
ccl,packet8192_one_link,0,0.99942303,0.99996978,158.345087,2.067820,measured_one_shot,candidate_packet8192_perf.xml
ccl,packet8192_one_link,1,0.99949104,0.99984211,123.795233,2.609569,measured_one_shot,candidate_packet8192_perf.xml
ccl,packet8192_one_link,3,0.99972457,0.99988294,163.276670,3.056323,measured_one_shot,candidate_packet8192_perf.xml
ccl,two_links_packet4352,0,0.99942303,0.99996978,159.122171,2.083785,measured_one_shot,candidate_links2_perf.xml
ccl,two_links_packet4352,1,0.99949104,0.99984211,122.102793,2.624244,measured_one_shot,candidate_links2_perf.xml
ccl,two_links_packet4352,3,0.99972457,0.99988294,162.588022,3.049022,measured_one_shot,candidate_links2_perf.xml
ccl,two_links_packet8192,0,0.99942303,0.99996978,158.175655,2.042139,promoted_to_repeated_test,candidate_links2_packet8192_perf.xml
ccl,two_links_packet8192,1,0.99949104,0.99984211,124.142422,2.621160,promoted_to_repeated_test,candidate_links2_packet8192_perf.xml
ccl,two_links_packet8192,3,0.99972457,0.99988294,163.937782,3.057488,promoted_to_repeated_test,candidate_links2_packet8192_perf.xml
ccl,two_links_packet8192_count7,0,0.99942303,0.99996978,157.797183,2.042372,selected_after_repeated_all_layer_test,candidate_links2_packet8192_perf_count7.xml
ccl,two_links_packet8192_count7,1,0.99949104,0.99984211,121.089902,2.626367,selected_after_repeated_all_layer_test,candidate_links2_packet8192_perf_count7.xml
ccl,two_links_packet8192_count7,3,0.99972457,0.99988294,162.836228,3.025393,selected_after_repeated_all_layer_test,candidate_links2_packet8192_perf_count7.xml
ccl,final_default_two_links_packet8192,0,0.99942303,0.99996978,158.877355,2.082220,selected_default_reproduction,final_default_perf_count7.xml
ccl,final_default_two_links_packet8192,1,0.99949104,0.99984211,120.853601,2.613159,selected_default_reproduction,final_default_perf_count7.xml
ccl,final_default_two_links_packet8192,3,0.99972457,0.99988294,162.370719,3.027236,selected_default_reproduction,final_default_perf_count7.xml
ccl,async_adapted,0,0.99942303,0.99996978,161.128189,4.824999,rejected_slower,candidate_async_ccl_adapted_layer0.xml+candidate_async_ccl_recovered_provenance.txt
